Irradiance,Temperature,Imax_calculated,Vmax_calculated,Pmax_calculated,Module Type
775.0,45.0,6.36,29.45,187.0,
800.0,50.0,6.59,29.26,193.0,
1000.0,25.0,8.11,30.2,245.0,
1000.0,75.0,8.35,28.31,236.0,
1000.0,100.0,8.47,27.37,232.0,
900.0,25.0,7.3,30.2,220.0,
900.0,50.0,7.41,29.26,217.0,
900.0,75.0,7.52,28.31,213.0,
900.0,100.0,7.63,27.37,209.0,
850.0,36.0,6.94,29.78,207.0,Polycrystalline (p-Si)
750.0,46.0,6.16,29.41,181.0,Polycrystalline (p-Si)
750.0,42.0,6.14,29.56,182.0,Polycrystalline (p-Si)
600.0,42.0,4.92,29.56,145.0,Polycrystalline (p-Si)
